sent1	sent2	gold	preds	dif
Hope this is what you are looking for.	If what you are looking for is much higher, they get the picture.	1	1.365432	0.365432
Young couple sitting on a black couch.	"Young couple sitting on couch.
"	4	3.634784	0.3652160000000002
It's not a good idea.	Not a good idea.	5	4.63503	0.3649699999999996
Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.	"Cuban officials said that last year none of about two dozen nominated Cuban musicians received U.S. visas in time to attend the Latin Grammys.
"	3.800	3.435732	0.36426800000000004
A black dog is jumping out of water.	"A black dog is shaking off water.
"	3.00	3.3628669999999996	0.3628669999999996
A yellow bird is eating fruit on a wire grate.	"A yellow bird eating fruit on a bird feeder.
"	2.8	3.162805	0.36280500000000027
IDEC shareholders would own 50.5 percent of the stock of the combined company, and Biogen shareholders the remaining 49.5 percent.	"The companies said Idec holders would own about 50.5 percent of the stock of the combined company.
"	3.000	3.362798	0.3627980000000002
Taiwan's economy grows 2.27% in April-June quarter	"China's economic growth rebounds to 7.8% in latest quarter
"	1.00	0.637616	0.36238400000000004
Delhi gang rape victim dies in Singapore hospital	"Delhi gang rape victim flown to Singapore hospital
"	3.4	3.037672	0.36232799999999976
Croatia begins countdown to historic EU entry	"Croatia countdowns to joining EU
"	4.80	4.438005	0.3619949999999994
A boy climbs a forest hill.	"A boy is climbing a hill.
"	4.000000	3.6384230000000004	0.3615769999999996
A father napping in a chair with a baby on his lap.	"Man with pink shirt sleeping on chair with infant.
"	3.4	3.039866	0.36013399999999995
"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals."""	"""This attack was wrong, and it was dangerous to our goals,"" Raymond said.
"	3.500	3.141416	0.358584
A black dog running into the water.	"A black dog running through water.
"	4.60	4.957043	0.357043
A man tries to feed a mouse to a snake.	"A man is teasing a snake with a mouse.
"	3.200	3.5568169999999997	0.3568169999999995
It makes absolutely NO difference.	No, it makes no difference.	5	4.643393	0.35660700000000034
You don't need to know everything.	They just don't want you to know it.	1	0.643826	0.356174
What is your lid made of?	What is your paper for?	0	0.356056	0.356056
The attack seemed similar to others staged near foreign compounds in Riyadh on May 12.	"The attack seemed similar to attacks staged near foreign compounds in Riyadh on May 12, for which officials have also blamed al-Qaida.
"	3.600	3.243989	0.3560110000000001
Two French journalists killed after Mali kidnapping	"Two French journalists abducted, killed in Northern Mali
"	4.60	4.244161	0.3558389999999996
The men played follow the leader on the grass.	"The rhino grazed on the grass.
"	1.000	0.644163	0.35583699999999996
A turtle is swimming in water.	"A turtle is walking underwater.
"	3.200	2.844811	0.3551890000000002
McGill also detailed the hole that had been cut in the Caprice's trunk.	"McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.
"	2.250	2.602935	0.352935
"""These despicable acts were committed by killers whose only faith is hate,"" Bush said, adding that the United States will find the killers."	"These despicable acts were committed by killers whose only faith is hate and the United States will find the killers and they will learn the meaning of American justice.
"	3.500	3.148543	0.3514569999999999
A person is playing an electronic keyboard.	"A kid is playing keyboard.
"	3.400	3.049306	0.35069399999999984
It rather depends on which country you're in.	That depends on which country you are in.	5	4.649437	0.3505630000000002
Libya postpones assembly election to July 7	"Libya postpones landmark election to July 7
"	4	4.349006	0.34900600000000015
It's not a good idea.	No, it's not a good thing.	4	4.348708	0.34870800000000024
A soldier walks a dog.	"A man walks a dog.
"	3.200000	2.852286	0.3477140000000003
A man is riding an electric bicycle.	"A man is riding a bicycle.
"	3.500	3.1530970000000003	0.34690299999999974
Japan suffers severe flooding - in pictures	"Oklahoma wildfires destroy homes - in pictures
"	0.8	0.454063	0.34593700000000005
A train is at a train station.	"The train sits at the train station.
"	4.2	4.545147	0.34514699999999987
Canada approves oil pipeline to the Pacific Coast	"Canadian government approves controversial oil pipeline to Pacific
"	4.80	4.455	0.34499999999999975
It really depends on how the employer documents it.	It depends how you're stating it.	2	1.655414	0.34458600000000006
Meat is being put into a skillet.	"A woman is putting a baby into a trash can.
"	0.400	0.055718	0.34428200000000003
A kid is talking in class.	"A girl is going to class.
"	1.800000	1.456174	0.34382599999999996
Site Finder has been visited 65 million times since its introduction, Galvin said.	"Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.
"	3.800	3.4563330000000003	0.3436669999999995
I did this one time as well.	I have this habit as well.	2	1.656707	0.34329300000000007
Child holding an object that is on fire.	"A child in pink holds an object that appears to be on fire.
"	4.00	3.65731	0.34269000000000016
A man and a woman watch two dogs.	"A man in a maroon bathing suit swings on a rope on a lake.
"	0.40	0.057735	0.34226500000000004
A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.	"The 25 percent hike takes annual UC undergraduate tuition to $4,794 and graduate fees to $5,019.
"	2.500	2.842021	0.3420209999999999
Headlines in major Iranian newspapers on Dec 14	"Headlines in major Iranian newspapers on July 29
"	2.00	1.658037	0.341963
The answer to both questions is: Yes.	The answer to both of your questions is yes.	5	4.658272	0.3417279999999998
Under Mexican law, bounty hunting is considered a form of kidnapping.	"Bounty hunting is illegal in Mexico, and the bounty hunter was charged with kidnapping.
"	4.000	3.6598379999999997	0.3401620000000003
Four children on stools in a diner.	"Four children sit on tall bar stools at a yellow and grey bar.
"	3.60	3.259879	0.3401209999999999
I don't think that there's any.	I don't think there are any benefits.	3	3.339843	0.3398430000000001
A woman is wrapping tofu.	"A woman is balling dough.
"	1.400	1.0625200000000001	0.3374799999999998
You can buy it on amazon for $5.	You can buy it on ebay for $25 and up.	2	1.662737	0.3372630000000001
I would personally beware of the Motley Fool.	I would recommend looking at The Motley Fool.	2	1.6630040000000001	0.33699599999999985
A monkey is playing drums.	"Someone in a gorilla costume is playing a set of drums.
"	2.500	2.836129	0.3361290000000001
As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.	"Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.
"	3.800	3.465735	0.3342649999999998
A woman is cutting onions.	"A woman is cutting tofu.
"	1.800	1.466351	0.3336490000000001
Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.	"His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.
"	3.600	3.266696	0.33330400000000004
On the cell's surface, the foreign components are recognised by other cells that then realise it is infected and kill it.	"The foreign bits are recognized by other cells that realize it is infected and kill it.
"	4.250	3.9180650000000004	0.33193499999999965
Egypt arrests Muslim Brotherhood Supreme Guide	"Egypt bans Muslim Brotherhood group
"	2.2	1.8681729999999999	0.3318270000000003
Apple buying security firm AuthenTec for $356 million	"News Summary: Apple buying AuthenTec for $356M
"	4.4	4.731008	0.33100799999999975
A woman is slicing ginger.	"A woman is cutting potatoes.
"	1.600	1.271593	0.3284070000000001
A group of people are sitting at at a beach on towels watching the Blue Angels.	"A group of people are sitting at a beach watching the Blue Angels.
"	4.200000	3.872217	0.32778300000000016
State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.	"Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.
"	3.500	3.8273639999999998	0.32736399999999977
The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.	"The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.
"	3.000	2.672968	0.327032
Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.	"In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy.
"	3.200	3.526133	0.326133
This is not a good idea.	This sound like a very bad idea.	4	3.6747050000000003	0.32529499999999967
A band is playing on stage.	"A woman is dancing on a stage.
"	1.200	0.876025	0.3239749999999999
A rebel who was captured said more than 2,000 insurgents were involved in the attack.	"A captured rebel said 2,100 combatants had been involved in the offensive.
"	3.500	3.176453	0.32354700000000003
That is your problem, not your supervisor's.	Work with your supervisor and your team to solve the problem.	2	2.323053	0.3230529999999998
Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.	"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.
"	4.200	3.8770870000000004	0.3229129999999998
Georgian PM's ally to become president - exit poll	"Ally of Georgia's billionaire PM to be president -exit polls
"	4.60	4.277122	0.32287799999999933
Sources within the racing industry have told the Daily Bulletin that Fontana will get a second NASCAR race on Labor Day weekend starting next season.	"Sources in the racing industry said Fontana will get a second NASCAR race on Labor Day weekend starting next season.
"	4.400	4.079116	0.3208840000000004
The Chelsea defender Marcel Desailly has been the latest to speak out.	"Marcel Desailly, the France captain and Chelsea defender, believes the latter is true.
"	2.250	2.570535	0.320535
The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.	"The dollar pushed as high as $1.1115 to the euro in early trade, extending Tuesday's one percent rally to hit its strongest level since April 30.
"	2.600	2.919896	0.31989599999999996
The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.	"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.
"	3.600	3.280244	0.31975599999999993
"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday."	"""But at this stage, given the early detection, the outlook in such instances would be positive,"" he said.
"	3.500	3.8191269999999995	0.3191269999999995
A dog prepares to herd three sheep with horns.	"A dog and sheep run together.
"	2.200000	1.8817560000000002	0.31824399999999997
A person is playing a piano.	"A person is slicing a potato.
"	0.500	0.183757	0.316243
He proposed a system under which it would take fewer and fewer votes to overcome a filibuster.	"Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.
"	3.000	3.3148589999999998	0.3148589999999998
Prof Sally Baldwin, 63, from York, fell into a cavity which opened up when the structure collapsed at Tiburtina station, Italian railway officials said.	"Sally Baldwin, from York, was killed instantly when a walkway collapsed and she fell into the machinery at Tiburtina station.
"	3.400	3.085285	0.3147150000000001
The man is sitting cross legged wearing a cloak and holding a stick.	"Man sitting cross legged while wearing a brown cloth and holding a wooden stick.
"	3.8	3.487393	0.31260699999999986
You just have to base your answer on what you do know, which is what you want.	Yes, you can do exactly what you want to do.	1	1.310732	0.310732
A person is slicing onions.	"Someone is slicing an onion.
"	4.600	4.910214	0.3102140000000002
A man climbing a rock-face.	"A man is climbing a rock wall.
"	4.60	4.910113	0.3101130000000003
A man is cutting a pipe with scissors.	"A man is cutting carpet with a knife.
"	1.200	1.509967	0.3099670000000001
Berri says ready to help launch national unity government	"The perception of Spain has changed dramatically with this government
"	0.4	0.70978	0.30977999999999994
Iran says nuclear talks to resume next month	"Iran says capable of jamming foes' communication systems
"	0.6	0.9097799999999999	0.30977999999999994
The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.	"Under the proposed terms of the transaction, and following the spinoff of PalmSource, Palm will exchange 0.09 shares for each share of Handspring.
"	3.750	3.4403300000000003	0.30966999999999967
People are waiting for the fireworks to start.	"Three people are waiting for the rain to stop.
"	1.200000	0.890445	0.3095549999999999
The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.	"The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.
"	1.200	0.891337	0.3086629999999999
The woman is holding the harness that the brown and white dog is wearing.	"A man and woman are looking at artwork that is on easels and clipped to a fencing wall.
"	0.00	0.307448	0.307448
Hassan Rouhani wins Iran's presidential election	"Maduro wins Venezuelan presidential vote
"	0.20	0.507287	0.30728700000000003
The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.	"The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.
"	3.000	3.3063260000000003	0.3063260000000003
A man is playing a flute.	"A man is riding a scooter.
"	0.800	0.49591899999999994	0.3040810000000001
Two ducks are standing by the water.	"The birds are swimming in the water.
"	2.4	2.096418	0.303582
A group of teenagers jumping and having a good time.	"A group of kids having a good time.
"	3.600000	3.297175	0.3028249999999999
The man is throwing knives at a tree.	"A man is throwing blades into a close target outside.
"	3.000	2.697304	0.3026960000000001
A green car parked at a saloon.	"A green car parked outside the saloon.
"	5	4.6978029999999995	0.3021970000000005
Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.	"As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States.
"	3.400	3.701345	0.301345
I have the same thing.	I have the same situation and have traveled extensively.	2	1.698971	0.301029
I had the same problem as you.	I had the same issue.	4	3.6994160000000003	0.30058399999999974
The cat is sitting on a bag of cat food.	"Two eagles sitting on a long branch.
"	0.4	0.10105	0.29895000000000005
People making a structure out of cards.	"Two people are together and one is using a piece of clothing in a different way than intended.
"	0.200000	0.49734799999999996	0.29734799999999995
A woman is talking to her pet bunny as she fondles it.	"A woman walks her dog onto astro turf.
"	0.400	0.695624	0.295624
You don't need any visa.	You don't need sauce at all.	0	0.294658	0.294658
A woman is slicing some tomatoes.	"A woman is chopping a potato.
"	1.400	1.105451	0.29454899999999995
Also it is useful to keep the consistency in your story.	It is important to keep the story in the scope of your limit.	2	2.294206	0.29420599999999997
A red train driving through a snow covered city.	"The train is riding on the tracks in the snow.
"	3.2	2.9059009999999996	0.29409900000000055
Storm buries Northeast; 16 inches of snow in NJ	"Forum urges stable relations for China, Japan
"	0.00	0.293163	0.293163
A woman is about to paint.	"A boy is about to take a picture.
"	1.000000	0.707073	0.29292700000000005
Mars rover collects first bedrock sample	"Wawrinka reaches first grand slam final
"	0	0.292537	0.292537
There are a few things you can do: 	There are a few minimally-effective things you can do at the personal level.	3	3.2902370000000003	0.2902370000000003
Can you do this?	So, CAN you do this?	5	4.709833000000001	0.2901669999999994
A brown and white dog is running through the snow.	"a brown and white dog is running on the grass.
"	2.40	2.111392	0.288608
A man is playing a guitar.	"A man is playing a trumpet.
"	1.714	1.42582	0.2881799999999999
A man is playing a guitar.	"A man is playing a trumpet.
"	1.714	1.42582	0.2881799999999999
Beaten Florida teen released in Israel	"Palestinian teen dies of wounds sustained in Israeli shooting
"	0.40	0.68786	0.28786
Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.	"Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.
"	4.750	4.4625639999999995	0.28743600000000047
Yes, there is a reason for it.	Yes, that is exactly what it means.	1	1.287318	0.28731799999999996
A kitten is drinking milk from a bowl.	"A small child is drinking water from a cup.
"	0.800	0.515842	0.284158
a young man wearing a white t-shirt and green and black shorts standing on a stump.	"A man wearing a white shirt and red and black shorts is running on the sidewalk.
"	1.800000	1.516432	0.28356800000000004
I was in a similar situation.	I had a similar situation.	5	4.717293	0.28270700000000026
A man is lifting weights.	"A man is chopping egg plant.
"	0.250	0.53223	0.28223
Kardashian Divorce Ready for Trial	"Hard-hit hotels ready for price war
"	0	0.281929	0.281929
How should I proceed about this?	So how should I do this?	4	4.281891000000001	0.2818910000000008
Greece suspends state broadcaster	"Greece to close state broadcaster to save money
"	4.20	3.918389	0.2816110000000003
Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.	"Corixa's stock barely flinched on the news, dipping 12 cents to close at $6.88.
"	4.500	4.218481	0.2815190000000003
A man sleeps with a baby in his lap.	"A man asleep in a chair holding a baby.
"	4	3.719021	0.28097899999999987
Gunmen kill female politician in Pakistan	"Gunmen kill 5 female teachers in Pakistan
"	2.2	2.479621	0.2796209999999997
A wet child enjoys the summer.	"A woman is enjoying the summer weather.
"	1.800000	1.520749	0.27925100000000014
A moped in front of ruins.	"White bus parked in grass in front of building.
"	0.6	0.8780700000000001	0.27807000000000015
But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	"But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.
"	4.200	3.9223559999999997	0.27764400000000045
Nelson Mandela in Hospital for Tests	"South Africa: Mandela in hospital for tests
"	4.6	4.877629	0.2776290000000001
It's not a good idea.	It's a good idea to do both.	1	1.277536	0.277536
A woman is slicing ginger.	"A person is holding two baby lorises.
"	0.000	0.27739	0.27739
Australians flee homes amid floods	"Australian speaker steps aside
"	0.8	1.07627	0.27627
Five men jump into a swimming pool.	"A group of swimmers fall into a pool.
"	2.800	2.523907	0.2760929999999999
People are dancing outside.	"A group of people are dancing.
"	3.750	4.025011	0.2750110000000001
Perry has since called two special legislative sessions to try force the redistricting plan through.	"Since then, Texas Gov. Rick Perry has called two special sessions trying to push the measure through.
"	3.500	3.7746449999999996	0.2746449999999996
A woman is filing her nails.	"A man is peeling a carrot.
"	0.000	0.274376	0.274376
A black and white cow in a pen with hay.	"Black and white cows behind a fence.
"	2.8	3.074216	0.274216
Singapore stocks end up 0.11 pct	"Singapore stocks end down 0.45%
"	1.60	1.8740740000000002	0.27407400000000015
15 dead in Iraq attacks, bomb at football pitch	"46 dead in Iraq attack blitz
"	1.40	1.673026	0.273026
The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.	"The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.
"	5.000	4.727291999999999	0.2727080000000006
US authorities charge man in ricin probe	"South African police arrest 50 in farm protest
"	0	0.272662	0.272662
It depends on what you want to do next, and where you want to do it.	I guess it depends on what you're going to do.	3	2.7274950000000002	0.2725049999999998
A man is opening a box and taking out paper.	"A woman is peeling a potato.
"	0.000	0.271961	0.271961
I was in a similar situation.	I am in a similar situation.	4	3.728301	0.2716989999999999
A man sitting in a back yard playing the guitar.	"A man riding on the back of an orange SUV.
"	0	0.26909099999999997	0.26909099999999997
He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.	"But the North Korean nuclear crisis has dominated his time in office.
"	2.000	2.268583	0.268583
A man is praying.	"A man is dancing.
"	0.750	0.481501	0.268499
A man in a suit dances with a young girl in front of an audience.	"A women dangles from a blue fabric connected to a tree.
"	0.20	-0.067626	0.26762600000000003
Two women sitting outside laughing.	"Two women standing outside of a bus.
"	2.4	2.132466	0.26753399999999994
"""We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed."	"""We've put a lot of effort and energy into improving our patching progress, probably later than we should have.
"	3.750	4.0175220000000005	0.2675220000000005
In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.	"In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets.
"	5.000	4.7330559999999995	0.2669440000000005
There's also what the string is made of.	There is also a Youtube-Version of the film.	0	0.266869	0.266869
A man is singing while playing the guitar.	"A man is stuffing himself full with food.
"	0.500	0.233425	0.266575
The man is kissing and hugging the woman.	"A man is hugging and kissing a woman.
"	5.000	4.734829	0.2651709999999996
The black and white dog has its mouth wide open.	"A black and white dog jumps in the snow.
"	1.80	1.535565	0.264435
He is about to run into the boat	"The man is getting his boat clean to take it out on the water.
"	1.200000	1.4640739999999999	0.2640739999999999
North, South Korea agree to talks	"North, South Korea hold rare talks
"	3.8	4.0632269999999995	0.26322699999999966
This is a terrible idea.	This is a bad idea.	5	4.73726	0.26274
The polar bears fought over the kill.	"Polar bears are fighting each other.
"	3.400	3.659664	0.2596639999999999
Two men are helping a boy.	"Two men are with a young child.
"	3.600000	3.8592160000000004	0.25921600000000034
A black train moves down the tracks.	"A long train is on train tracks.
"	2.8	3.058032	0.25803200000000004
A man is dancing.	"A woman is exercising.
"	0.400	0.142448	0.257552
Syrian forces overrun rebel stronghold	"Syria army takes northern rebel stronghold
"	4	4.254773	0.25477300000000014
Deputy speaker faces new sex claims	"Deputy Speaker Nigel Evans Re-Arrested
"	2.00	2.253875	0.25387499999999985
It's all in her head.	It's all about adhesion.	0	0.253673	0.253673
Malaysia sets May 5 as date for closely contested election	"Malaysia sets date for landmark elections
"	3.4	3.148166	0.2518340000000001
British soldier killed in southern Afghanistan	"Two British soldiers killed in Afghanistan
"	3	3.251741	0.251741
You just have to base your answer on what you do know, which is what you want.	Th answer to you problem is that you dont actually know what you're getting in .	2	1.7487759999999999	0.2512240000000001
A girl is running on a desert path.	"A young girl is talking on a cell phone.
"	0.80	0.549661	0.2503390000000001
Israel confirms strike on Syria targeted weapons	Israel officials: Strike on Syria targeted weapons	5	4.749887999999999	0.25011200000000056
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.	"A man is riding a skateboard.
"	2.750	2.999254	0.2492540000000001
Mali due to vote for president	"Mali Counts Votes After Presidential Runoff
"	2.2	2.448731	0.2487309999999998
A bicycle is parked by a shop.	"A bicycle is parked outside a bookstore.
"	4	3.7526699999999997	0.24733000000000027
5 US airstrikes target Islamic State fighters	Kurds see Turkey impeding Islamic State fight	1	1.244517	0.2445170000000001
A man running on a track.	"a man running track
"	5.00	4.755809999999999	0.24419000000000057
Sunderland 2-2 Bolton: Davies double gets Trotters a point but they stay in bottom three	"Sunderland 2-2 Bolton: Davies in at the double
"	4	3.755832	0.24416800000000016
A man is playing a guitar.	"A man is eating pasta.
"	0.533	0.28975100000000004	0.243249
Ukraine to implement unilateral ceasefire	"Ukraine offers unilateral ceasefire
"	4.80	4.556901	0.24309899999999995
Pak religious body endorses underage marriage	CII endorses underage marriage	3	2.757214	0.24278600000000017
You want to start in the room that is the largest to make sure you have the straightest start.	You will have to start with the clinic., and maybe move on to the insurance company.	1	1.242761	0.242761
Sometime if you really want it you might need to pay an agency to get the place for you.	You could probably get a tour agency to do it for you but it would cost you.	2	2.2424180000000002	0.24241800000000024
Prince Harry pays tribute to US war dead	"US presidents pay tribute to Mandela
"	0.40	0.641454	0.24145399999999995
One white boy and one black boy stand with arms around each other.	"Two young boys, one white and one black, are standing with their arms around each other.
"	4.80	4.558669	0.24133099999999974
A man is demonstrating how to work with clay while at least two people observe.	"At least one of the three women is talking to the others.
"	0.600000	0.841299	0.24129900000000004
A man is stirring juice.	"A man is peeling an onion.
"	0.750	0.5088550000000001	0.24114499999999994
Trade newspaper Variety up for sale	"Hollywood trade publication Variety put up for sale
"	4	4.24108	0.24108000000000018
SCO says the pricing terms for a license will not be announced for weeks.	"Details on pricing will be announced within a few weeks, McBride said.
"	2.600	2.8405709999999997	0.24057099999999965
A man in a wet suit is throwing a baby wearing a wet suit up into the air.	"A man in a white print shirt and a woman in a black dress dancing.
"	0.00	0.24054699999999998	0.24054699999999998
"""Canada is a small country, and it needs companies like this, deals like this."""	"A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this.""
"	3.000	2.75964	0.2403599999999999
How much do you know about Secret Service?	Lawmakers from both sides express outrage at Secret Service	1	1.238271	0.2382709999999999
A skunk is looking here and there.	"A skunk looks at the camera.
"	2.400	2.162189	0.23781099999999977
The road is long.	"There is nothing on the side of the road.
"	0.800000	0.562368	0.23763200000000007
A man is kicking a soccer ball.	"A man is performing tricks with a soccer ball.
"	2.600	2.3627849999999997	0.2372150000000004
Two black dogs are playing on the grass.	"Two black dogs are playing in a grassy plain.
"	4.60	4.836841000000001	0.23684100000000097
A woman is spreading mustard on a bread roll.	"A kitten is playing with a woman's finger.
"	0.000	0.236454	0.236454
Green and white bird perched on tree branch.	"Bird with a green head and white chest perched on a tree branch.
"	4.2	3.963627	0.2363730000000004
Israel to free Palestinian hunger striker	"Israel asks US for arms that could aid Iran strike
"	0.8	0.5642020000000001	0.23579799999999995
You are on the right path.	You're on the right path.	5	4.764585	0.2354149999999997
Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.	"But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.
"	4.500	4.2656019999999994	0.23439800000000055
A tan puppy on a carpeted floor.	"Tan puppy lying down on white carpeting.
"	3.8	4.033957	0.2339570000000002
Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.	"Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.
"	3.800	4.0328349999999995	0.23283499999999968
Two firefighters killed in New York ambush	"Two New York firefighters in guarded condition after deadly ambush
"	2.6	2.832265	0.23226499999999994
The train heads down the tracks and along the hedge.	"a dog on the floor of a patio looks at a cat on the fence.
"	0	0.231737	0.231737
What are your goals?	What are you goals?	5	4.768338	0.23166200000000003
Morsi supporters protest in Egypt	"Morsi backers defiant in face of Egypt govt threat
"	3	3.231102	0.23110199999999992
Ferrer cruises into Australian Open quarter-finals	"Ferrer beats Nishikori to advance to Australian Open quarterfinals
"	3.6	3.370313	0.2296870000000002
The kids are at the theater watching a movie.	"it is picture day for the boys
"	0.200000	0.429595	0.229595
That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.	"Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year.
"	1.500	1.727271	0.227271
A woman in a blue bathing suit is jumping off a dock into a lake.	"a boy in a blue shirt and blue jeans runs across a playground
"	0.40	0.17290999999999998	0.22709000000000004
Two cats sitting on a couch looking out the window.	"A cat looking out of a window.
"	2.6	2.373294	0.22670600000000007
There are a few things I think you should do.	There are quite a few things you would need to do;	4	3.7738959999999997	0.2261040000000003
Yes, there is at least one to my knowledge.	To my knowledge, there's no time requirement.	1	0.774464	0.22553599999999996
Two men standing in grass staring at a car.	"Two women sitting in chairs in a shop.
"	0.4	0.175296	0.22470400000000001
The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.	"The Dow Jones industrial average fell 10.89 points, or 0.11 percent, to 9,837.94.
"	3.400	3.175386	0.22461399999999987
On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.	"In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.
"	1.600	1.8241450000000001	0.22414500000000004
Nigeria mourns over 193 people killed in plane crash	"Nigeria opens probe into deadly air crash
"	1.6	1.824007	0.22400699999999985
Waksal has pleaded guilty to securities fraud and is to be sentenced next week.	"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.
"	3.500	3.2765299999999997	0.22347000000000028
a close up head of an ostrich.	"A close up of an ostrich face.
"	4.4	4.176769999999999	0.22323000000000093
Afghan Parliament Votes to Oust Key Ministers	"Afghan parliament votes to remove key ministers
"	4.8	5.022273	0.2222730000000004
Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.	"Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.
"	1.250	1.47203	0.22202999999999995
It's not a good idea.	It is not a good idea.	5	4.778939	0.22106099999999973
Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.	"The Fijian military installed an all-indigenous government led by Mr Qarase, who won democratic elections in September 2001.
"	3.000	2.77908	0.22092
Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.	"In New York, Vivendi shares were 1.4 percent down at $18.29.
"	1.400	1.618348	0.218348
Three dolphins are jumping out of a pool in front of a crowd of people.	"A man is giving a presentation in front of a lot of people.
"	0.60	0.383389	0.216611
It very much depends on the grant in question.	I think it depends very much on the area.	2	1.7839580000000002	0.21604199999999985
You do not need to worry.	You don't have to worry.	5	4.787077	0.21292299999999997
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.	"A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.
"	3.400	3.6124080000000003	0.21240800000000037
A man is riding a motorcycle.	"A woman is riding a horse.
"	0.750	0.539323	0.210677
